"(PDH-CSV 4.0) (India Standard Time)(-330)","\\RODNEY-A9F2EF35\ICMP\Messages Sent/sec","\\RODNEY-A9F2EF35\ICMP\Messages/sec","\\RODNEY-A9F2EF35\ICMP\Sent Echo/sec","\\RODNEY-A9F2EF35\Memory\% Committed Bytes In Use","\\RODNEY-A9F2EF35\Processor(_Total)\% Processor Time"
"04/01/2015 10:08:28.094","0","0","0","12.356311032554874","12.5"
"04/01/2015 10:08:29.094","0","0","0","12.356311032554874","14.0625"
"04/01/2015 10:08:30.094","0","0","0","12.356311032554874","4.6875"
"04/01/2015 10:08:31.094","0","0","0","12.356311032554874","6.25"
"04/01/2015 10:08:32.094","0","0","0","12.356311032554874","7.8125"
"04/01/2015 10:08:33.094","0","0","0","12.356311032554874","7.8125"
"04/01/2015 10:08:34.094","0","0","0","12.356624421796848","28.125"
"04/01/2015 10:08:35.094","0","0","0","12.356937811038822","10.9375"
"04/01/2015 10:08:36.094","0","0","0","12.356311032554874","17.1875"
"04/01/2015 10:08:37.094","0","0","0","12.361011871184486","15.625"
"04/01/2015 10:08:38.094","0","0","0","12.361011871184486","12.5"
"04/01/2015 10:08:39.094","0","0","0","12.361011871184486","15.625"
"04/01/2015 10:08:40.094","0","0","0","12.361011871184486","6.25"
"04/01/2015 10:08:41.094","0","0","0","12.361011871184486","12.5"
"04/01/2015 10:08:42.094","0","0","0","12.361011871184486","23.4375"
"04/01/2015 10:08:43.094","0","0","0","12.361011871184486","18.75"
"04/01/2015 10:08:44.094","0","0","0","12.360698481942512","23.4375"
"04/01/2015 10:08:45.094","0","0","0","12.360698481942512","9.375"
"04/01/2015 10:08:46.094","0","0","0","12.360698481942512","14.0625"
"04/01/2015 10:08:47.094","0","0","0","12.360698481942512","14.0625"
"04/01/2015 10:08:48.094","0","0","0","12.364459152846202","14.0625"
"04/01/2015 10:08:49.094","0","0","0","12.368846602233839","23.4375"
"04/01/2015 10:08:50.094","0","0","0","12.364772542088174","7.8125"
"04/01/2015 10:08:51.094","0","0","0","12.364772542088174","12.5"
"04/01/2015 10:08:52.094","0","0","0","12.364772542088174","7.8125"
"04/01/2015 10:08:53.094","0","0","0","12.364772542088174","3.125"
"04/01/2015 10:08:54.094","0","0","0","12.364772542088174","7.8125"
"04/01/2015 10:08:55.094","0","0","0","12.36289220663633","4.6875"
"04/01/2015 10:08:56.094","0","0","0","12.36289220663633","7.8125"
"04/01/2015 10:08:57.094","0","0","0","12.36289220663633","7.8125"
